,movie,year,imdb,metascore,votes,us_grossMillions,timeMin,genre,certificate,stars,descriptions
113,Deadpool 2,2018,7.7,66.0,579309,324.59,119,"Action, Adventure, Comedy            ",R,"
    Director:
David Leitch
| 
    Stars:
Ryan Reynolds, 
Josh Brolin, 
Morena Baccarin, 
Julian Dennison
","
Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable."
114,The Lord of the Rings: The Two Towers,2002,8.8,87.0,1657035,342.55,179,"Action, Adventure, Drama            ",PG-13,"
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Ian McKellen, 
Viggo Mortensen, 
Orlando Bloom
","
While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
115,Ford v Ferrari,2019,8.1,81.0,390326,117.62,152,"Action, Biography, Drama            ",PG-13,"
    Director:
James Mangold
| 
    Stars:
Matt Damon, 
Christian Bale, 
Jon Bernthal, 
Caitríona Balfe
","
American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966."
116,The Dark Knight Rises,2012,8.4,78.0,1695767,448.14,164,"Action, Drama            ",PG-13,"
    Director:
Christopher Nolan
| 
    Stars:
Christian Bale, 
Tom Hardy, 
Anne Hathaway, 
Gary Oldman
","
Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Selina Kyle, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
117,The Avengers,2012,8.0,69.0,1385528,623.28,143,"Action, Adventure, Sci-Fi            ",PG-13,"
    Director:
Joss Whedon
| 
    Stars:
Robert Downey Jr., 
Chris Evans, 
Scarlett Johansson, 
Jeremy Renner
","
Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity."
118,Thirteen Lives,2022,7.8,66.0,49303,,147,"Action, Adventure, Biography            ",PG-13,"
    Director:
Ron Howard
| 
    Stars:
Viggo Mortensen, 
Colin Farrell, 
Joel Edgerton, 
Tom Bateman
","
A rescue mission is assembled in Thailand where a group of young boys and their soccer coach are trapped in a system of underground caves that are flooding."
119,Ferris Bueller's Day Off,1986,7.8,61.0,358777,70.14,103,Comedy            ,PG-13,"
    Director:
John Hughes
| 
    Stars:
Matthew Broderick, 
Alan Ruck, 
Mia Sara, 
Jeffrey Jones
","
A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that."
120,Drive,2011,7.8,78.0,638024,35.06,100,"Action, Drama            ",R,"
    Director:
Nicolas Winding Refn
| 
    Stars:
Ryan Gosling, 
Carey Mulligan, 
Bryan Cranston, 
Albert Brooks
","
A mysterious Hollywood action film stuntman who moonlights as a getaway driver, gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver,"
121,About Time,2013,7.8,55.0,350096,15.32,123,"Comedy, Drama, Fantasy            ",R,"
    Director:
Richard Curtis
| 
    Stars:
Domhnall Gleeson, 
Rachel McAdams, 
Bill Nighy, 
Lydia Wilson
","
At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
122,The Lion King,1994,8.5,88.0,1052399,422.78,88,"Animation, Adventure, Drama            ",G,"
    Directors:
Roger Allers, 
Rob Minkoff
| 
    Stars:
Matthew Broderick, 
Jeremy Irons, 
James Earl Jones, 
Whoopi Goldberg
","
Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
123,The Last of the Mohicans,1992,7.7,76.0,171242,75.51,112,"Action, Adventure, Drama            ",R,"
    Director:
Michael Mann
| 
    Stars:
Daniel Day-Lewis, 
Madeleine Stowe, 
Russell Means, 
Eric Schweig
","
Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War."
